"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Gavin Lux","LAD","109","440","392","102","18","2","15","53","57","39","94","3","7","3","",".261",".329",".436",".766",".325","","103","0.0","-2.3","","1.6","-0.9","1.4","","212.4","19955"
"Anthony Santander","BAL","147","646","594","155","33","2","30","82","90","38","125","6","5","2","",".261",".309",".477",".786",".325","","102","-1.0","-0.2","","0.8","-8.9","1.4","","171.5","14551"
"Elvis Andrus","OAK","139","608","559","143","29","3","13","67","65","37","99","5","17","7","",".255",".305",".388",".693",".296","","86","1.7","-4.9","","-9.0","2.1","1.4","","389.5","8709"
"Andrew Benintendi","KCR","131","573","495","126","26","3","16","72","60","65","120","6","12","4","",".255",".345",".414",".759",".327","","101","0.3","0.0","","0.8","-6.5","1.4","","219.1","17901"
"Franmil Reyes","CLE","150","631","555","142","24","1","36","86","96","64","175","4","1","0","",".255",".334",".496",".830",".346","","113","-1.0","0.0","","9.6","-17.5","1.4","","157.6","14566"
"Jake Cronenworth","SDP","104","426","377","103","21","3","8","48","47","39","73","5","8","3","",".272",".346",".408",".753",".324","","101","-0.3","0.1","","0.4","0.2","1.4","","217.6","18036"
"Will Smith","LAD","86","344","299","71","14","1","17","44","50","36","83","4","2","1","",".237",".325",".459",".785",".329","","106","-0.6","0.7","","2.0","7.6","1.4","","105.0","19197"
"Harrison Bader","STL","112","437","380","87","15","2","14","48","50","40","131","10","10","4","",".229",".317",".395",".712",".305","","89","0.6","4.3","","-5.8","5.9","1.4","","550.8","18030"
"Adam Frazier","PIT","136","593","531","140","30","3","12","68","56","47","87","7","7","4","",".265",".330",".402",".732",".313","","92","0.3","-1.3","","-5.9","0.9","1.4","","523.2","15223"
"Nico Hoerner","CHC","102","397","358","99","19","3","8","44","45","28","58","5","8","3","",".276",".335",".413",".747",".319","","96","0.3","1.5","","-1.8","3.2","1.4","","522.9","21479"
"Luis Urias","MIL","120","482","419","106","21","3","11","51","52","48","104","8","6","3","",".253",".338",".395",".733",".317","","93","-0.4","-1.2","","-4.8","3.4","1.4","","492.4","16622"
"Joey Votto","CIN","144","648","536","138","26","1","23","92","71","97","132","6","3","1","",".258",".375",".438",".813",".349","","112","-3.7","-1.6","","6.6","-13.6","1.4","","396.5","4314"
