"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Darin Ruf","SFG","39","147","130","32","6","0","5","17","19","14","34","1","1",".246",".328",".422",".751",".326","600.7","","3.37","1.31","1.43","9929"
"Austin Dean","STL","49","173","156","41","9","1","5","20","21","14","40","1","0",".262",".328",".424",".752",".325","999.0","","5.13","0.69","1.42","18288"
"Hunter Renfroe","BOS","117","455","409","94","21","1","26","59","66","38","128","5","1",".230",".298",".476",".774",".325","445.1","","2.72","0.32","0.76","15464"
"Renato Nunez","DET","59","246","221","54","10","0","11","30","34","19","63","0","0",".243",".312",".447",".759",".325","529.8","","10.72","0.57","0.94","14503"
"Aristides Aquino","CIN","47","174","158","37","7","1","9","23","26","13","52","3","1",".234",".300",".466",".767",".325","591.0","","5.53","1.16","1.21","15482"
"Jake Cronenworth","SDP","124","505","451","121","26","4","9","63","53","45","86","10","3",".268",".339",".405",".744",".325","217.6","","3.43","0.16","0.85","18036"
"Ryan Zimmerman","WSN","43","168","151","38","8","0","6","19","23","14","34","0","0",".255",".320",".435",".756",".325","597.7","","2.93","1.76","1.37","4220"
"Connor Joe","COL","6","23","20","5","1","0","1","3","3","3","5","0","0",".248",".339",".400",".739",".325","999.0","","3.59","3.50","1.94","16572"
"Shogo Akiyama","CIN","86","327","289","76","14","2","6","40","29","33","60","9","3",".264",".345",".391",".736",".324","571.8","","4.23","0.26","1.29","27461"
"Adam Eaton","CHW","127","545","478","123","23","4","13","72","51","49","96","11","3",".258",".338",".401",".740",".324","415.5","","2.73","-0.04","0.70","11205"
